identifier,name,compartment,initial_amount,initial_units,constant_amount,current_value,boundary_condition,nonnegative,units,interpreted_dimension
V_C.nT1,nT1,V_C,10917.8462489435,cell,false,10917.8462489435,false,false,cell,amount
V_C.T1,T1,V_C,167058759.748195,cell,false,167058759.748195,false,false,cell,amount
V_C.nT0,nT0,V_C,21.3582731635232,cell,false,21.3582731635232,false,false,cell,amount
V_C.T0,T0,V_C,64798527.7982662,cell,false,64798527.7982662,false,false,cell,amount
V_C.nivolumab,nivolumab,V_C,0,molarity,false,0,false,false,molarity,amount
V_P.nT1,nT1,V_P,631601.565123608,cell,false,631601.565123608,false,false,cell,amount
V_P.T1,T1,V_P,3216660467.68575,cell,false,3216660467.68575,false,false,cell,amount
V_P.nT0,nT0,V_P,76379.7171865414,cell,false,76379.7171865414,false,false,cell,amount
V_P.T0,T0,V_P,1864091701.56689,cell,false,1864091701.56689,false,false,cell,amount
V_P.nivolumab,nivolumab,V_P,0,molarity,false,0,false,false,molarity,amount
V_T.C_x,C_x,V_T,2366275.41763324,cell,false,2366275.41763324,false,false,cell,amount
V_T.T_exh,T_exh,V_T,68995257.8643238,cell,false,68995257.8643238,false,false,cell,amount
V_T.C1,C1,V_T,5586480665.74453,cell,false,5586480665.74453,false,false,cell,amount
V_T.T1,T1,V_T,1076400.93051691,cell,false,1076400.93051691,false,false,cell,amount
V_T.T0,T0,V_T,439766.695919215,cell,false,439766.695919215,false,false,cell,amount
V_T.APC,APC,V_T,38653.3906539875,cell,false,38653.3906539875,false,false,cell,amount
V_T.mAPC,mAPC,V_T,13816.7441825088,cell,false,13816.7441825088,false,false,cell,amount
V_T.c,c,V_T,2.45197775639616e-08,molarity,false,2.45197775639616e-08,false,false,molarity,amount
V_T.P0,P0,V_T,4.25764025169051e-08,molarity,false,4.25764025169051e-08,false,false,molarity,amount
V_T.P1,P1,V_T,4.25764025187613e-09,molarity,false,4.25764025187613e-09,false,false,molarity,amount
V_T.nivolumab,nivolumab,V_T,0,molarity,false,0,false,false,molarity,amount
V_LN.nT1,nT1,V_LN,3379220.95151892,cell,false,3379220.95151892,false,false,cell,amount
V_LN.aT1,aT1,V_LN,575268.368343126,cell,false,575268.368343126,false,false,cell,amount
V_LN.T1,T1,V_LN,6010186141.54383,cell,false,6010186141.54383,false,false,cell,amount
V_LN.IL2,IL2,V_LN,2.65503534928018e-15,molarity,false,2.65503534928018e-15,false,false,molarity,amount
V_LN.nT0,nT0,V_LN,6308.40363525054,cell,false,6308.40363525054,false,false,cell,amount
V_LN.aT0,aT0,V_LN,325443.86318484,cell,false,325443.86318484,false,false,cell,amount
V_LN.T0,T0,V_LN,3410087972.79383,cell,false,3410087972.79383,false,false,cell,amount
V_LN.APC,APC,V_LN,1649336.13090789,cell,false,1649336.13090789,false,false,cell,amount
V_LN.mAPC,mAPC,V_LN,1728292.87477684,cell,false,1728292.87477684,false,false,cell,amount
V_LN.nivolumab,nivolumab,V_LN,0,molarity,false,0,false,false,molarity,amount
V_e.P0,P0,V_e,3.54741079275386e-08,molarity,false,3.54741079275386e-08,false,false,molarity,amount
V_e.p0,p0,V_e,4.07462000546834e-09,molarity,false,4.07462000546834e-09,false,false,molarity,amount
V_e.P1,P1,V_e,3.5474107932618e-09,molarity,false,3.5474107932618e-09,false,false,molarity,amount
V_e.p1,p1,V_e,4.07456770679601e-10,molarity,false,4.07456770679601e-10,false,false,molarity,amount
A_e.M1,M1,A_e,718.402099216756,molecule/micrometer^2,false,718.402099216756,false,false,molecule/micrometer^2,concentration
A_e.M1p0,M1p0,A_e,0.0146272285131758,molecule/micrometer^2,false,0.0146272285131758,false,false,molecule/micrometer^2,concentration
A_e.M1p1,M1p1,A_e,0.00146314275472396,molecule/micrometer^2,false,0.00146314275472396,false,false,molecule/micrometer^2,concentration
A_s.M1,M1,A_s,23.9472455056725,molecule/micrometer^2,false,23.9472455056725,false,false,molecule/micrometer^2,concentration
A_s.M1p0,M1p0,A_s,0.417157219675605,molecule/micrometer^2,false,0.417157219675605,false,false,molecule/micrometer^2,concentration
A_s.M1p1,M1p1,A_s,0.0918363102977283,molecule/micrometer^2,false,0.0918363102977283,false,false,molecule/micrometer^2,concentration
syn_T1_C1.PD1_PDL1,PD1_PDL1,syn_T1_C1,0,molecule/micrometer^2,false,0,false,false,molecule/micrometer^2,concentration
syn_T1_C1.PD1_PDL2,PD1_PDL2,syn_T1_C1,0,molecule/micrometer^2,false,0,false,false,molecule/micrometer^2,concentration
syn_T1_C1.PD1,PD1,syn_T1_C1,0,molecule/micrometer^2,false,0,false,false,molecule/micrometer^2,concentration
syn_T1_C1.PDL1,PDL1,syn_T1_C1,0,molecule/micrometer^2,false,0,false,false,molecule/micrometer^2,concentration
syn_T1_C1.PDL2,PDL2,syn_T1_C1,0,molecule/micrometer^2,false,0,false,false,molecule/micrometer^2,concentration
syn_T1_C1.PD1_aPD1,PD1_aPD1,syn_T1_C1,0,molecule/micrometer^2,false,0,false,false,molecule/micrometer^2,concentration
syn_T1_C1.PD1_aPD1_PD1,PD1_aPD1_PD1,syn_T1_C1,0,molecule/micrometer^2,false,0,false,false,molecule/micrometer^2,concentration
syn_T1_C1.PDL1_aPDL1,PDL1_aPDL1,syn_T1_C1,0,molecule/micrometer^2,false,0,false,false,molecule/micrometer^2,concentration
syn_T1_C1.PDL1_aPDL1_PDL1,PDL1_aPDL1_PDL1,syn_T1_C1,0,molecule/micrometer^2,false,0,false,false,molecule/micrometer^2,concentration
